iteration, fitness, params
0,0.00259204663098,"[ 0.70968828  0.3094884   0.86042444  0.03908015  0.87509429  0.40609388
  0.1671073   0.20543613  0.15145818  0.14227207  0.55610097  0.80447792
  0.03920368  0.73001792  0.91004205]"
1,0.00259204663098,"[ 0.70968828  0.3094884   0.86042444  0.03908015  0.87509429  0.40609388
  0.1671073   0.20543613  0.15145818  0.14227207  0.55610097  0.80447792
  0.03920368  0.73001792  0.91004205]"
2,0.00259204663098,"[ 0.70968828  0.3094884   0.86042444  0.03908015  0.87509429  0.40609388
  0.1671073   0.20543613  0.15145818  0.14227207  0.55610097  0.80447792
  0.03920368  0.73001792  0.91004205]"
3,0.00332416661338,"[0.43447186868985854, 0.7303418931508786, 0.039502476153328914, 0.38016151833871659, 0.56792458063009144, 0.32166981532325656, 0.80828000486188045, 0.06984563642534569, 0.23002832597878431, 0.52135941024330845, 1.0, 0.75757685048092416, 0.29382488693223741, 0.14982959588908079, 0.63255414698762447]"
4,0.00332416661338,"[0.43447186868985854, 0.7303418931508786, 0.039502476153328914, 0.38016151833871659, 0.56792458063009144, 0.32166981532325656, 0.80828000486188045, 0.06984563642534569, 0.23002832597878431, 0.52135941024330845, 1.0, 0.75757685048092416, 0.29382488693223741, 0.14982959588908079, 0.63255414698762447]"
5,0.00332416661338,"[0.43447186868985854, 0.7303418931508786, 0.039502476153328914, 0.38016151833871659, 0.56792458063009144, 0.32166981532325656, 0.80828000486188045, 0.06984563642534569, 0.23002832597878431, 0.52135941024330845, 1.0, 0.75757685048092416, 0.29382488693223741, 0.14982959588908079, 0.63255414698762447]"
6,0.00332416661338,"[0.43447186868985854, 0.7303418931508786, 0.039502476153328914, 0.38016151833871659, 0.56792458063009144, 0.32166981532325656, 0.80828000486188045, 0.06984563642534569, 0.23002832597878431, 0.52135941024330845, 1.0, 0.75757685048092416, 0.29382488693223741, 0.14982959588908079, 0.63255414698762447]"
7,0.00357729276941,"[0.62035709581053888, 0.86331333038527336, 0.5804259429164856, 0.37390883139148423, 1.0, 0.6219373874873214, 0.49425629227951334, 0.046004043124745264, 0.30799502783012866, 0.49037222989732254, 0.1681179227731726, 0.72832264164164506, 0.062101930773308722, 0.18467475138657369, 0.36144399224521212]"
8,0.00357729276941,"[0.62035709581053888, 0.86331333038527336, 0.5804259429164856, 0.37390883139148423, 1.0, 0.6219373874873214, 0.49425629227951334, 0.046004043124745264, 0.30799502783012866, 0.49037222989732254, 0.1681179227731726, 0.72832264164164506, 0.062101930773308722, 0.18467475138657369, 0.36144399224521212]"
9,0.00357729276941,"[0.62035709581053888, 0.86331333038527336, 0.5804259429164856, 0.37390883139148423, 1.0, 0.6219373874873214, 0.49425629227951334, 0.046004043124745264, 0.30799502783012866, 0.49037222989732254, 0.1681179227731726, 0.72832264164164506, 0.062101930773308722, 0.18467475138657369, 0.36144399224521212]"
